mktid,mkt_lat,mkt_lon
lon34_2871lat0_0562,.056200001,34.287102
lon0_1814lat34_2949,.1814,34.294899
lon0_0863lat34_2345,.086300001,34.234501
lon0_1739lat34_2266,.17389999,34.226601
lon0_2623lat34_2252,.26230001,34.225201
lon0_3054lat34_201,.30540001,34.201
lon0_3259lat34_3057,.32589999,34.305698
lon0_2073lat34_4915,.20730001,34.491501
lon0_2067lat34_4904,.2067,34.490398
lon0_3407lat34_339,.3407,34.339001
lon0_0417lat34_3758,.041700002,34.375801
lon0_1547lat34_3812,.1547,34.381199
lon0_1105lat34_1039,.1105,34.103901
lon0_2799lat34_1194,.27990001,34.1194
lon0_2793lat34_1182,.2793,34.118198
